id,price,rank,url
1315,0.44,848,https://magiceden.io/item-details/6jBn6vzzJKDmkgAy1PZBs5iZEjBzfeRE8LgmUctwQZDk
467,0.45,1244,https://magiceden.io/item-details/DVeaiKRBqf3Bni6xAjPvXJNVtMb6k6FdtpNjbidUVf5c
1333,0.45,1299,https://magiceden.io/item-details/9tM5T3WobAvxiVK4LeeQtZyGag3e7D2dqosKuVtPgvJM
905,0.45,1301,https://magiceden.io/item-details/AtQx5ht9tPbQ349qpkqDKC2YgeHqx22frTNpg39TgUth
1066,0.47,207,https://magiceden.io/item-details/GF9su2sufnLdm4RknyfXSGaS1Uoyhz8d7REbLacjSMMo
259,0.4869,1161,https://magiceden.io/item-details/E54TmCizD3BYE8KETvboETjr1YQzJR3kvusd7vhYAege
951,0.49,1224,https://magiceden.io/item-details/CK42CPVuKKT4a2vUd4bmWg9B4MjaHvCQHnaB19UyieiL
649,0,495,https://magiceden.io/item-details/7YHL8QrKpkDCGcN4HRRCRdyraSmAnx3Mo76848GG4F2P
30,0.5,708,https://magiceden.io/item-details/EMC9gcYW69zmsR58Xzsq3AQQaArYvc3Ru28VHorjnwjd
882,0.5,991,https://magiceden.io/item-details/iB4f79tgGi29KBuJPtETuKDF5s2391je8mha8BNEWbe
1202,0.5,89,https://magiceden.io/item-details/iYQa2cWHL3tYkvUtWuHAXgypDG6a76UED599VLg33sJ
133,0.5,1047,https://magiceden.io/item-details/DjXsLfMGnj1i62g2h6mCBVdHQpzrnpZiKVdERXT36z2
425,0.5,874,https://magiceden.io/item-details/5nSSTCJ3Eiy8bP83DrW5tRYsDGkmCmQmo3heRk2dcHKs
406,0.5,428,https://magiceden.io/item-details/CrfLu4jznQRfhyEv4f4CEcULA7EAAmFng1yXHY2s1h85
596,0.5,710,https://magiceden.io/item-details/7Q4WRY14cPTeg2UiYDkWAxZ5p6XdBo5pFb4ngjAFzUNd
382,0.5,628,https://magiceden.io/item-details/GwEjBqe135fN5rgHQ3VvSMtv3ViWnkHjqtkdPDeXwFet
1304,0.5,1183,https://magiceden.io/item-details/2CDyMsqvyv4ToMVkLm7qUhJdZBuseCDQr7S2VRsPujgN
563,0.5,277,https://magiceden.io/item-details/8SKRKvVUiAePf7dr67Rv4yfmfuhN1bKu1gzLJTfaQvj1
893,0.5,454,https://magiceden.io/item-details/5NgKvkLijrc5YrUtimbDGCEHWyAX6ZLddnFerD3qCKqb
660,0.5,352,https://magiceden.io/item-details/4mphGMMAJGbDbBorHT5g3UmGxtBUbeMBGq3TfxB9DZqi
50,0.5,1174,https://magiceden.io/item-details/EwsWGfafFH1zESr1qobgx8a74Se1Vx2a4RmimVTLXXVx
1227,0.5,811,https://magiceden.io/item-details/DisQLfkMmhHcAM511uZwsSTTWCC9pz1sy5DYqtJTQ14o
934,0.5,1188,https://magiceden.io/item-details/Fz4vp2hcG9QGM7bgWdHj34d3Zk58Y72EEaKS7APF5N18
90,0.5,661,https://magiceden.io/item-details/6aVnoHwyKW9FagKP6cBWVCYaKHGJvbjrPQPKzTddcLrx
1286,0.5,882,https://magiceden.io/item-details/5hNe16nfSTiYd3t2gotvTDZ8HNSPc9NhygZJBkDMFqga
450,0.5,757,https://magiceden.io/item-details/CvgDk5rYfupFz3wnigZWspx3JoXwhB1LmQq7tdUZg8vW
805,0.52,902,https://magiceden.io/item-details/HytAEbEYXKDx94r8ffjsWJdhhCBZP6PNUDWedwCMQPQM
340,0.55,594,https://magiceden.io/item-details/9HzKjzPzN8we14pCq7fnoyXjzGix2Hdo3ZkWoCDZeN2v
1299,0.55,497,https://magiceden.io/item-details/4hDufjoBZq3gqjbk9T6r4i89t2hBUm2zQHFEYABAGGKw
96,0.55,426,https://magiceden.io/item-details/G8PaH5DEc5rYJdy7uArKTVzJTrQ2eLK9AxmKdwtvPajq
82,0.55,110,https://magiceden.io/item-details/AL6rHXSKmiEGThtd8ca1Zjqj1ZYTt7d9jut5tVAEz2Be
579,0.57,629,https://magiceden.io/item-details/FdqBbU7CjgwkVLT5Wo3Esq2BdDm6XCHHvtM9GAExPmUM
743,0.59,505,https://magiceden.io/item-details/6EyjDpcfDpeyWQbcwHKEC8QecUU5m2eP55vcBtiQ3TKr
802,0.6,514,https://magiceden.io/item-details/9uA7WfBEHGA3A3oTbhP74HzXUyNJ9y4HY9MpBtsN6utE
301,0.6,320,https://magiceden.io/item-details/BakVooupJRyoTDHyWsN1odikgqAJpEvRXjbG4TqM5aCi
566,0.6,1095,https://magiceden.io/item-details/F7MZ7uyhzZrFJgdzqGSw2bM3yMFJ3sWiB8YE3ZeFLA8r
432,0.65,1264,https://magiceden.io/item-details/EGbQPHso7pPAY1vUXvVkc16ngHvGGsWHhg56F4VUeELV
768,0.67,627,https://magiceden.io/item-details/4sj9gLfMUDPVxsFkDiaQVPq3KWopwwhrd9PDx7CswWmH
556,0.67,578,https://magiceden.io/item-details/Fzx18LdFXJrCM5C8VUYPsitWBAoiVuvFfkzJVZ3Sh92b
1235,0.67,59,https://magiceden.io/item-details/HSpkFZjfwAFxDPJfb3FdG3R2QF1v5KbpNscarJzkjdPu
685,0.68,651,https://magiceden.io/item-details/3oVKgN25xvLT8Hb6zmS6FoJ46N76yeEns5EHNa2rwXQn
69,0.69,1187,https://magiceden.io/item-details/7Pth8kcdf92WH1WSMh9SL3f51MLcpk7APj8fcFnAEaZJ
210,0.69,980,https://magiceden.io/item-details/3eq5NwykuwqFBfiy3GwUmnMDoGJuQ419RTMwpRyNA1jr
75,0.69,158,https://magiceden.io/item-details/ERWWRpPrJaikmoQpG8vaTpgprEGpwKUqaWpAyhD48PA9
942,0.69,566,https://magiceden.io/item-details/Gg5gG2E83MpLSbpyWsrfD3JzevrnuqX3ctPeeZ7grZJz
1042,0.69,1000,https://magiceden.io/item-details/Hm4eapUQoaUXU6C3wWD5K8akxPJ8EPSgovrnvpbL5ybv
968,0.69,555,https://magiceden.io/item-details/47tzbS5TqnCynYvTyVD4D8r4reu8BEw9YJjf4aUyMniW
495,0.69,877,https://magiceden.io/item-details/8bBXQ4oRT9BgrZ9Evv1q4wf5Bd5XectRi39MJnemASLb
230,0.7,905,https://magiceden.io/item-details/G6fj2penRXcPMx7QoruPvSLt9YdNTH7HfHPb4u6CTCiv
431,0.7,1222,https://magiceden.io/item-details/7FkihQu6nCN9kk26PQU3NN58eXEadDnGEMtzum2RZv92
